country,ISO3,Region,CPI score 2019,CPI score 2018,CPI score 2017,CPI score 2016,CPI score 2015,CPI score 2014,CPI Score 2013,CPI Score 2012
Iceland,ISL,WE/EU,78,76,77,78,79,79,78,82
India,IND,AP,41,41,40,40,38,38,36,36
Indonesia,IDN,AP,40,38,37,37,36,34,32,32
Iran,IRN,MENA,26,28,30,29,27,27,25,28
Iraq,IRQ,MENA,20,18,18,17,16,16,16,18
Ireland,IRL,WE/EU,74,73,74,73,75,74,72,69
Israel,ISR,MENA,60,61,62,64,61,60,61,60
Italy,ITA,WE/EU,53,52,50,47,44,43,43,42
Jamaica,JAM,AME,43,44,44,39,41,38,38,38
Japan,JPN,AP,73,73,73,72,75,76,74,74
Jordan,JOR,MENA,48,49,48,48,53,49,45,48
Kazakhstan,KAZ,ECA,34,31,31,29,28,29,26,28
Kenya,KEN,SSA,28,27,28,26,25,25,27,27
"Korea, North",PRK,AP,17,14,17,12,8,8,8,8
"Korea, South",KOR,AP,59,57,54,53,54,55,55,56
Kosovo,KSV,ECA,36,37,39,36,33,33,33,34
Kuwait,KWT,MENA,40,41,39,41,49,44,43,44
Kyrgyzstan,KGZ,ECA,30,29,29,28,28,27,24,24
Laos,LAO,AP,29,29,29,30,25,25,26,21
Latvia,LVA,WE/EU,56,58,58,57,56,55,53,49
Lebanon,LBN,MENA,28,28,28,28,28,27,28,30
Lesotho,LSO,SSA,40,41,42,39,44,49,49,45
Liberia,LBR,SSA,28,32,31,37,37,37,38,41
Libya,LBY,MENA,18,17,17,14,16,18,15,21
Lithuania,LTU,WE/EU,60,59,59,59,59,58,57,54
Luxembourg,LUX,WE/EU,80,81,82,81,85,82,80,80
Madagascar,MDG,SSA,24,25,24,26,28,28,28,32
Malawi,MWI,SSA,31,32,31,31,31,33,37,37
Malaysia,MYS,AP,53,47,47,49,50,52,50,49
Maldives,MDV,AP,29,31,33,36,,,,
Mali,MLI,SSA,29,32,31,32,35,32,28,34
Malta,MLT,WE/EU,54,54,56,55,60,55,56,57
Mauritania,MRT,SSA,28,27,28,27,31,30,30,31
Mauritius,MUS,SSA,52,51,50,54,53,54,52,57
Mexico,MEX,AME,29,28,29,30,31,35,34,34
Moldova,MDA,ECA,32,33,31,30,33,35,35,36
Mongolia,MNG,AP,35,37,36,38,39,39,38,36
Montenegro,MNE,ECA,45,45,46,45,44,42,44,41
Morocco,MAR,MENA,41,43,40,37,36,39,37,37
Mozambique,MOZ,SSA,26,23,25,27,31,31,30,31
Myanmar,MMR,AP,29,29,30,28,22,21,21,15
Namibia,NAM,SSA,52,53,51,52,53,49,48,48
Nepal,NPL,AP,34,31,31,29,27,29,31,27
Netherlands,NLD,WE/EU,82,82,82,83,84,83,83,84
New Zealand,NZL,AP,87,87,89,90,91,91,91,90
Nicaragua,NIC,AME,22,25,26,26,27,28,28,29
Niger,NER,SSA,32,34,33,35,34,35,34,33
Nigeria,NGA,SSA,26,27,27,28,26,27,25,27
North Macedonia,MKD,ECA,35,37,35,37,42,45,44,43
Norway,NOR,WE/EU,84,84,85,85,88,86,86,85
Oman,OMN,MENA,52,52,44,45,45,45,47,47
Pakistan,PAK,AP,32,33,32,32,30,29,28,27
Panama,PAN,AME,36,37,37,38,39,37,35,38
Papua New Guinea,PNG,AP,28,28,29,28,25,25,25,25
Paraguay,PRY,AME,28,29,29,30,27,24,24,25
Peru,PER,AME,36,35,37,35,36,38,38,38
Philippines,PHL,AP,34,36,34,35,35,38,36,34
Poland,POL,WE/EU,58,60,60,62,63,61,60,58
Portugal,PRT,WE/EU,62,64,63,62,64,63,62,63
Qatar,QAT,MENA,62,62,63,61,71,69,68,68
Romania,ROU,WE/EU,44,47,48,48,46,43,43,44
Russia,RUS,ECA,28,28,29,29,29,27,28,28
Rwanda,RWA,SSA,53,56,55,54,54,49,53,53
Saint Lucia,LCA,AME,55,55,55,60,,71,71,71
Saint Vincent and the Grenadines,VCT,AME,59,58,58,60,,62,62,62
Sao Tome and Principe,STP,SSA,46,46,46,46,42,42,42,42
Saudi Arabia,SAU,MENA,53,49,49,46,52,49,46,44
Senegal,SEN,SSA,45,45,45,45,44,43,41,36
Serbia,SRB,ECA,39,39,41,42,40,41,42,39
Seychelles,SYC,SSA,66,66,60,,55,55,54,52
Sierra Leone,SLE,SSA,33,30,30,30,29,31,30,31
Singapore,SGP,AP,85,85,84,84,85,84,86,87
Slovakia,SVK,WE/EU,50,50,50,51,51,50,47,46
Slovenia,SVN,WE/EU,60,60,61,61,60,58,57,61
Solomon Islands,SLB,AP,42,44,39,42,,,,
Somalia,SOM,SSA,9,10,9,10,8,8,8,8
South Africa,ZAF,SSA,44,43,43,45,44,44,42,43
South Sudan,SSD,SSA,12,13,12,11,15,15,14,
Spain,ESP,WE/EU,62,58,57,58,58,60,59,65
Sri Lanka,LKA,AP,38,38,38,36,37,38,37,40
Sudan,SDN,SSA,16,16,16,14,12,11,11,13
Suriname,SUR,AME,44,43,41,45,36,36,36,37
Sweden,SWE,WE/EU,85,85,84,88,89,87,89,88
Switzerland,CHE,WE/EU,85,85,85,86,86,86,85,86
Syria,SYR,MENA,13,13,14,13,18,20,17,26
Taiwan,TWN,AP,65,63,63,61,62,61,61,61
Tajikistan,TJK,ECA,25,25,21,25,26,23,22,22
Tanzania,TZA,SSA,37,36,36,32,30,31,33,35
Thailand,THA,AP,36,36,37,35,38,38,35,37
Timor-Leste,TLS,AP,38,35,38,35,28,28,30,33
Togo,TGO,SSA,29,30,32,32,32,29,29,30
Trinidad and Tobago,TTO,AME,40,41,41,35,39,38,38,39
Tunisia,TUN,MENA,43,43,42,41,38,40,41,41
Turkey,TUR,ECA,39,41,40,41,42,45,50,49
Turkmenistan,TKM,ECA,19,20,19,22,18,17,17,17
Uganda,UGA,SSA,28,26,26,25,25,26,26,29
Ukraine,UKR,ECA,30,32,30,29,27,26,25,26
United Arab Emirates,ARE,MENA,71,70,71,66,70,70,69,68
United Kingdom,GBR,WE/EU,77,80,82,81,81,78,76,74
United States of America,USA,AME,69,71,75,74,76,74,73,73
Uruguay,URY,AME,71,70,70,71,74,73,73,72
Uzbekistan,UZB,ECA,25,23,22,21,19,18,17,17
Vanuatu,VUT,AP,46,46,43,,,,,
Venezuela,VEN,AME,16,18,18,17,17,19,20,19
Vietnam,VNM,AP,37,33,35,33,31,31,31,31
Yemen,YEM,MENA,15,14,16,14,18,19,18,23
Zambia,ZMB,SSA,34,35,37,38,38,38,38,37
Zimbabwe,ZWE,SSA,24,22,22,22,21,21,21,20
